[19-Feb-2016 10:46:55 UTC] PHP Fatal error:  Class 'Session' not found in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/request.php on line 107
[22-Feb-2016 14:55:03 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 7
[22-Feb-2016 15:00:12 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 7
[22-Feb-2016 15:00:28 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 7
[22-Feb-2016 15:01:19 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 7
[22-Feb-2016 15:01:43 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 7
[22-Feb-2016 15:02:13 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 7
[22-Feb-2016 15:02:58 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 7
[22-Feb-2016 15:03:29 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 7
[22-Feb-2016 15:04:05 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 7
[22-Feb-2016 15:30:56 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 7
[22-Feb-2016 15:31:04 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 7
[22-Feb-2016 16:09:32 UTC] PHP Fatal error:  Cannot redeclare Session::$key_sessionId in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/core/session.php on line 7
[22-Feb-2016 16:18:11 UTC] PHP Parse error:  syntax error, unexpected '__constructor' (T_STRING), expecting variable (T_VARIABLE) in /home/ubuntu/workspace/vbmscms/src/modules/coffee/src/server/model/dbObject.php on line 23
